No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
103,AI Interface,Streaming Response,All,AI responses should stream token by token,Show text as it generates with typing indicator,Wait for complete response then show,"const StreamingMessage = () => { const [text setText] = useState(''); const [isStreaming setIsStreaming] = useState(true);
  useEffect(() => { const stream = await fetch('/api/ai' { method: 'POST' }).body.getReader();
    while (true) { const { done value } = await stream.read(); if (done) break; setText(prev => prev + new TextDecoder().decode(value)); }
    setIsStreaming(false); } []);
  return (<div className=""prose""><p>{text}{isStreaming && <span className=""inline-block w-2 h-4 bg-gray-400 animate-pulse ml-1"" aria-label=""AI is typing"" />}</p></div>);};
// Shows text progressively as AI generates it","// Bad: 10+ second spinner then wall of text appears at once
<>{isLoading ? <Spinner /> : <p>{fullResponse}</p>}</>",High
104,AI Interface,Confidence Display,All,Show AI confidence levels when relevant,Visual confidence indicator for uncertain outputs,Hide uncertainty from users,Confidence bar or percentage,No indication of AI certainty,Medium
105,AI Interface,Error Recovery,All,AI errors should offer clear recovery paths,Retry button + alternative suggestions,Generic error message only,"const AIErrorState = ({ error onRetry onSimplify }) => (<div className=""p-4 bg-red-50 border border-red-200 rounded-lg"" role=""alert""><div className=""flex items-start gap-3""><AlertCircle className=""h-5 w-5 text-red-600 flex-shrink-0"" /><div className=""flex-1""><p className=""font-medium text-red-800"">Unable to generate response</p><p className=""text-sm text-red-700 mt-1"">{error.message || 'The AI service encountered an issue.'}</p><div className=""flex flex-wrap gap-2 mt-3""><button onClick={onRetry} className=""px-3 py-1.5 bg-red-600 text-white text-sm rounded-lg hover:bg-red-700 flex items-center gap-1""><RefreshCw className=""h-4 w-4"" />Try again</button><button onClick={onSimplify} className=""px-3 py-1.5 border border-red-300 text-red-700 text-sm rounded-lg hover:bg-red-100"">Simplify request</button></div></div></div></div>);","<p className=""text-red-600"">Error: Something went wrong</p> // No recovery options",High
106,WCAG 2.2,Target Size,All,Interactive elements need minimum 24x24px target,Minimum 24x24px (WCAG 2.5.8 AA),Smaller touch/click targets,"// WCAG 2.5.8 requires 24x24px minimum (AA) 44x44px for AAA
const IconButton = ({ icon: Icon label onClick }) => (<button onClick={onClick} aria-label={label} className=""min-w-[24px] min-h-[24px] p-1.5 rounded hover:bg-gray-100 focus:ring-2 focus:ring-blue-500 focus:outline-none inline-flex items-center justify-center""><Icon className=""h-4 w-4"" aria-hidden=""true"" /></button>);
// For mobile: use min-w-[44px] min-h-[44px] for better touch targets","<button className=""p-0.5""><X className=""h-3 w-3"" /></button> // 16px target too small",High
107,WCAG 2.2,Dragging Alternatives,All,Dragging operations need single-pointer alternative,Provide buttons or menus for drag actions,Drag-only interactions,"const ReorderItem = ({ item index onMove canMoveUp canMoveDown }) => (<li className=""flex items-center gap-2 p-3 bg-white border rounded-lg""><button aria-label=""Drag to reorder"" className=""cursor-grab p-1 hover:bg-gray-100 rounded""><GripVertical className=""h-5 w-5 text-gray-400"" /></button><span className=""flex-1"">{item.name}</span><div className=""flex flex-col""><button onClick={() => onMove(index -1)} disabled={!canMoveUp} aria-label=""Move up"" className=""p-1 hover:bg-gray-100 rounded disabled:opacity-30""><ChevronUp className=""h-4 w-4"" /></button><button onClick={() => onMove(index 1)} disabled={!canMoveDown} aria-label=""Move down"" className=""p-1 hover:bg-gray-100 rounded disabled:opacity-30""><ChevronDown className=""h-4 w-4"" /></button></div></li>);","// Drag-only: <div draggable onDrag={...}>{item}</div> // No keyboard alternative",High
108,Mobile UX,Gesture Patterns,Mobile,Use platform-native gesture patterns,Swipe to delete pull to refresh pinch to zoom,Custom unfamiliar gestures,iOS-style swipe actions,Custom swipe patterns,Medium
109,Mobile UX,Thumb Zone,Mobile,Place primary actions in thumb-friendly zones,Primary CTA bottom center or bottom right,Important actions at top of screen,"// Bottom navigation for primary actions - thumb-friendly zone
const MobileNav = () => (<nav className=""fixed bottom-0 inset-x-0 bg-white border-t safe-area-pb""><div className=""flex justify-around items-center h-16""><NavItem icon={Home} label=""Home"" href=""/"" /><NavItem icon={Search} label=""Search"" href=""/search"" /><NavItem icon={Plus} label=""Create"" href=""/new"" primary /><NavItem icon={Bell} label=""Alerts"" href=""/alerts"" /><NavItem icon={User} label=""Profile"" href=""/profile"" /></div></nav>);
// FAB for primary action: <button className=""fixed bottom-20 right-4 w-14 h-14 rounded-full bg-blue-600 shadow-lg"">+</button>","<header><button className=""absolute top-4 right-4"">+ Create</button></header> // Hard to reach with thumb",High
110,Voice UI,Multimodal Design,All,Voice interfaces should have visual fallbacks,Voice + screen + touch options,Voice-only with no visual,"const VoiceSearch = () => (<div className=""relative""><input type=""search"" placeholder=""Search or say a command..."" className=""w-full pl-10 pr-12 py-3 border rounded-lg"" aria-label=""Search"" /><Search className=""absolute left-3 top-1/2 -translate-y-1/2 h-5 w-5 text-gray-400"" /><button onClick={startVoice} aria-label={isListening ? 'Stop listening' : 'Start voice search'} className=""absolute right-2 top-1/2 -translate-y-1/2 p-2 rounded-full hover:bg-gray-100"">{isListening ? <MicOff className=""h-5 w-5 text-red-500 animate-pulse"" /> : <Mic className=""h-5 w-5 text-gray-600"" />}</button>{transcript && <p className=""mt-2 text-sm text-gray-600"" aria-live=""polite"">Heard: ""{transcript}""</p>}</div>);","// Voice-only: 'Say a command to continue' with no visual input option",High
111,Progressive Disclosure,AI Complexity,All,Hide AI complexity behind progressive disclosure,Simple default with advanced options expandable,All AI options visible at once,Advanced settings collapsed,20 AI parameters visible,Medium
112,Conversational UI,Thread Design,All,Chat threads need clear message attribution,Distinct visual separation between user and AI,Ambiguous message ownership,"const ChatMessage = ({ message isUser }) => (<div className={`flex gap-3 ${isUser ? 'flex-row-reverse' : ''}`}><div className=""flex-shrink-0""><div className={`w-8 h-8 rounded-full flex items-center justify-center ${isUser ? 'bg-blue-600' : 'bg-gray-200'}`}>{isUser ? <User className=""h-4 w-4 text-white"" /> : <Bot className=""h-4 w-4 text-gray-600"" />}</div></div><div className={`max-w-[80%] p-3 rounded-2xl ${isUser ? 'bg-blue-600 text-white rounded-br-md' : 'bg-gray-100 text-gray-900 rounded-bl-md'}`} aria-label={isUser ? 'You said' : 'Assistant said'}><p>{message.content}</p><time className={`text-xs mt-1 block ${isUser ? 'text-blue-200' : 'text-gray-500'}`}>{message.time}</time></div></div>);","// All messages same gray bubble - unclear who said what",High
113,Collaboration,Real-time Presence,Web,Show collaborator presence and activity,Cursor positions avatars typing indicators,No indication of other users,Live cursors with names,No presence indication,Medium
114,AI Systems,Graceful Degradation,All,AI features should degrade gracefully when unavailable,Fallback to non-AI alternative,Feature completely unavailable,"const SmartInput = ({ onSubmit }) => { const { data: suggestions error isLoading } = useAISuggestions(); return (<div className=""space-y-2""><div className=""relative""><input type=""text"" className=""w-full px-3 py-2 border rounded-lg pr-10"" placeholder=""Type or get AI suggestions..."" />{!error && <button onClick={getAISuggestion} disabled={isLoading} className=""absolute right-2 top-1/2 -translate-y-1/2 p-1 hover:bg-gray-100 rounded"" aria-label=""Get AI suggestion""><Sparkles className={`h-4 w-4 ${isLoading ? 'animate-pulse text-gray-400' : 'text-blue-600'}`} /></button>}</div>{error && <p className=""text-sm text-gray-500"">AI suggestions unavailable. Please type manually.</p>}{!error && suggestions && <SuggestionsList items={suggestions} />}</div>);};","// AI unavailable: <div className=""text-red-600"">Error: AI service is down</div> // Feature completely broken",High
115,Onboarding,AI Expectation Setting,All,Set realistic expectations for AI capabilities,Clear explanation of what AI can and cannot do,Overpromise AI capabilities,"const AIDisclaimer = () => (<div className=""p-4 bg-blue-50 border border-blue-200 rounded-lg""><div className=""flex items-start gap-3""><Info className=""h-5 w-5 text-blue-600 flex-shrink-0 mt-0.5"" /><div><h3 className=""font-medium text-blue-900"">About AI Assistant</h3><div className=""mt-2 text-sm text-blue-800 space-y-2""><p><strong>Can help with:</strong> Drafting content summarizing text answering questions brainstorming ideas</p><p><strong>Limitations:</strong> May produce inaccurate information. Cannot access real-time data or browse the web. Not suitable for medical legal or financial advice.</p><p className=""text-blue-600"">Always verify important information independently.</p></div></div></div></div>);","<p>AI can do anything you need!</p> // Overpromising leads to disappointment",High
116,Animation,View Transitions API,Web,Use View Transitions for smooth page-to-page navigation,Enable with startViewTransition() or CSS @view-transition,Instant jumps between pages without transition,"document.startViewTransition(() => { updateDOM(); }); // Or in CSS: @view-transition { navigation: auto; }","updateDOM(); // Direct DOM update without transition causes jarring page change",High
117,Animation,View Transition Names,Web,Named elements persist across page transitions with visual continuity,Add view-transition-name to shared elements like hero images,"Forget to name elements that should persist across views","<img src={hero} style={{ viewTransitionName: 'hero-image' }} alt=""Hero"" /> // Element morphs between pages","<img src={hero} alt=""Hero"" /> // No view-transition-name means no cross-page animation",Medium
118,Navigation,Cross-Document View Transitions,Web,Same-origin navigation transitions in Next.js/SPAs for seamless UX,Use Link with viewTransition prop in Next.js 15+,Ignore browser support - use progressive enhancement,"<Link viewTransition href=""/about"">About</Link> // Enables smooth cross-document transitions","<Link href=""/about"">About</Link> // No viewTransition prop means instant page swap",Medium
119,Animation,View Transition Fallback,Web,Handle browsers without View Transitions API support gracefully,Check document.startViewTransition support before using,Assume all browsers support View Transitions API,"if (document.startViewTransition) { document.startViewTransition(() => updateDOM()); } else { updateDOM(); } // Progressive enhancement","document.startViewTransition(() => updateDOM()); // Crashes in unsupported browsers",High
120,Animation,CSS Scroll-Driven Animations Basics,Web,Use animation-timeline: scroll() for scroll-linked animations,CSS animation-timeline: scroll(),JavaScript scroll event listeners,"animation-timeline: scroll(); animation-range: entry cover;","window.addEventListener('scroll', updateAnimation)",High
121,Animation,View Timeline for Element Visibility,Web,Use animation-timeline: view() for viewport-based animations,view() timeline for reveal animations,IntersectionObserver for simple reveals,"animation-timeline: view(); animation-range: entry 0% cover 40%;","useIntersectionObserver hook",Medium
122,Animation,Scroll-Driven Parallax Effects,Web,Create parallax without JavaScript using scroll(),CSS-only parallax with scroll timeline,requestAnimationFrame parallax,"@keyframes parallax { to { transform: translateY(-50%); } } .parallax { animation: parallax linear; animation-timeline: scroll(); }","onScroll={() => setTranslateY(scrollY * 0.5)}",Medium
123,Animation,Performance of Scroll Animations,Web,Prefer CSS scroll animations for better performance,CSS handles animation compositing,JS mutations every frame,".scroll-anim { animation: reveal linear; animation-timeline: scroll(); } /* Browser optimizes compositing */","requestAnimationFrame(() => element.style.transform = ...) // JS mutations every frame",High
124,Navigation,Navbar Scroll Threshold,Web,Navbar state should change at appropriate scroll distance,Use 50-100px scroll threshold for state change. Provides buffer before activating compact state,Change state immediately at scrollY > 0 (jarring) or too late > 150px (user misses transition),"window.addEventListener('scroll', () => { if (window.scrollY > 50) navbar.classList.add('scrolled'); else navbar.classList.remove('scrolled'); });","if (window.scrollY > 0) addClass('scrolled'); // Too sensitive triggers on any tiny scroll",Medium
125,Animation,Navbar Transition Timing,Web,Navbar transitions should feel smooth and professional,Use 0.3-0.4s duration with cubic-bezier easing for natural feel,Use linear easing or very fast transitions (<0.2s) which feel mechanical or jarring,".navbar { transition: all 0.4s cubic-bezier(0.4, 0, 0.2, 1); } .navbar-logo { transition: transform 0.3s ease; }",".navbar { transition: all 0.1s linear; } // Too fast and robotic",Medium
126,Navigation,Mobile Menu Animation Patterns,Mobile,Mobile menu should animate smoothly when opening and closing,Use max-height + opacity or transform for smooth open/close animations with proper easing,Use display:none toggle which provides no animation and feels abrupt,".mobile-nav { max-height: 0; opacity: 0; overflow: hidden; transition: max-height 0.35s ease, opacity 0.3s ease; } .mobile-nav.active { max-height: 400px; opacity: 1; }",".mobile-nav { display: none; } .mobile-nav.active { display: block; } // No animation just instant toggle",Medium
127,Performance,Image Loading Effects,Web,Use blur-up placeholder technique for smooth image loading experience,Use low-res blurred placeholder that transitions to full resolution image. Prevents layout shift and provides visual feedback,Show empty space or cause layout shift during image load. Avoid no visual feedback while loading,".img-lazy { filter: blur(10px); transition: filter 0.3s ease; } .img-lazy.loaded { filter: blur(0); } /* Or use placeholder: */ .img-container { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; }","img { opacity: 0; } img.loaded { opacity: 1; } /* No visual feedback during load */",Medium
128,Performance,Content Loading Placeholder,Web,Use skeleton with shimmer animation for loading states to improve perceived performance,Use skeleton screens with shimmer animation that matches content layout. Provides visual feedback and reduces perceived wait time,Show spinner or empty area while loading. Avoid blocking UI with no indication of what will load,".skeleton { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; border-radius: 4px; } @keyframes shimmer { 0% { background-position: -200% 0; } 100% { background-position: 200% 0; } } .skeleton-text { height: 1em; margin: 0.5em 0; } .skeleton-avatar { width: 48px; height: 48px; border-radius: 50%; }",".loading { content: 'Loading...'; } /* Or just empty div with no visual feedback */",Medium
