No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy
31,AI Product Hero,"ai, streaming, demo, try-it, interactive, hero","1. Hero with Live Demo Input, 2. Streaming Output Display, 3. Use Cases, 4. Pricing, 5. CTA",Input field in hero + Streaming demo area,Dark mode: #0A0A0A bg. AI Purple #7C3AED. Success Green #10B981. Streaming text white.,"Typing indicator animation, streaming text reveal, input focus glow, result fade-in",Let users try immediately. Show AI working in real-time. Reduce friction to first interaction.,.ai-product-hero { min-height: 100vh; background: #0a0a0a; color: #fff; display: flex; align-items: center; } .demo-container { display: grid; grid-template-columns: 1fr 1fr; gap: 3rem; } .input-area { background: #111; border-radius: 1rem; padding: 1.5rem; } .output-stream { background: #111; border-radius: 1rem; padding: 1.5rem; min-height: 300px; font-family: monospace; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
32,Bento Grid Feature,"bento, grid, features, modular, apple-style, cards","1. Hero, 2. Bento Grid (3-6 feature cards), 3. Detail Sections, 4. CTA",Inside prominent grid cards + Bottom CTA,Card bg: #FFFFFF or glass. Page bg: #F5F5F7. Icons: Brand accent. Text: #1D1D1F.,"Card hover scale (1.02), staggered reveal, video autoplay in cards, parallax subtle",Feature hierarchy through card size. Large card = primary feature. Scannable value props.,".feature-bento { display: grid; grid-template-columns: repeat(3, 1fr); gap: 1rem; } .bento-card { background: #fff; border-radius: 1.5rem; padding: 2rem; transition: transform 0.3s ease; } .bento-card:hover { transform: scale(1.02); } .bento-card.featured { grid-column: span 2; } @media (max-width: 768px) { .feature-bento { grid-template-columns: 1fr; } .bento-card.featured { grid-column: span 1; } }","{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: Complex Grid (Auto-fit). Tablet: 2-col Masonry. Mobile: Linear Stack (Order: Hero -> Stats -> Features).
33,Social Proof Wall,"testimonials, reviews, grid, social-proof, trust, wall","1. Hero, 2. Testimonial Grid/Masonry, 3. Key Metrics (X users, Y reviews), 4. CTA",After testimonial wall + Floating CTA,Trust colors. Avatar photos. Star rating gold #F59E0B. Quote text dark. Card bg light.,"Masonry layout animation, testimonial carousel, count-up metrics, logo carousel fade",Volume of social proof. Show faces and names. Include company logos. Real metrics.,".testimonial-masonry { columns: 3; column-gap: 1.5rem; } @media (max-width: 768px) { .testimonial-masonry { columns: 1; } } .testimonial-card { break-inside: avoid; margin-bottom: 1.5rem; background: #fff; padding: 1.5rem; border-radius: 1rem; box-shadow: 0 2px 10px rgba(0,0,0,0.05); } .metrics-row { display: flex; justify-content: center; gap: 4rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
34,Interactive Demo Section,"demo, interactive, try, product, preview, hands-on","1. Hero, 2. Interactive Demo Embed, 3. Key Features Explained, 4. Full CTA",Demo interaction points + After demo CTA,Interface colors match product. Demo highlights in brand accent. Instructions subtle.,"Demo step highlighting, tooltip guides, success animations, progress indicators",Guided product experience. Reduce signup friction. Show value before commitment.,".demo-section { padding: 6rem 0; } .demo-embed { max-width: 1000px; margin: 0 auto; border-radius: 1rem; overflow: hidden; box-shadow: 0 20px 60px rgba(0,0,0,0.15); } .demo-steps { display: flex; justify-content: center; gap: 2rem; margin-top: 3rem; } .step-indicator { display: flex; align-items: center; gap: 0.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
35,Comparison Table Section,"comparison, versus, table, features, competitors","1. Hero, 2. Comparison Table (You vs Others), 3. Why Choose Us, 4. CTA",Your column highlighted + Below table CTA,Your column: Light accent bg #EFF6FF. Checkmarks: #22C55E. X marks: #EF4444.,"Table row hover, sticky header, feature expand, checkbox animations",Honest comparison. Highlight strengths. Address weaknesses. Clear winner visual.,.comparison-container { overflow-x: auto; } .comparison-table { width: 100%; border-collapse: collapse; min-width: 700px; } .comparison-table th { position: sticky; top: 0; background: #fff; padding: 1rem; } .comparison-table td { padding: 1rem; text-align: center; border-bottom: 1px solid #e5e7eb; } .your-column { background: #eff6ff; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
36,Pricing Calculator Interactive,"pricing, calculator, interactive, estimate, cost, quote","1. Hero with Calculator, 2. Sliding/Input Controls, 3. Live Price Update, 4. CTA to Purchase",Calculator result area + Proceed to checkout CTA,Neutral calculator bg. Price highlight large. Slider track brand color. Result card accent.,"Slider smooth animation, price counter animation, package recommendation highlight",Personalized pricing. Show value for cost. Reduce pricing page anxiety.,".calculator-section { padding: 6rem 0; } .calculator-card { max-width: 600px; margin: 0 auto; background: #fff; padding: 3rem; border-radius: 1.5rem; box-shadow: 0 10px 40px rgba(0,0,0,0.1); } .slider-group { margin-bottom: 2rem; } .price-display { font-size: 3rem; font-weight: 700; text-align: center; margin: 2rem 0; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
37,Exit Intent Modal,"exit, modal, popup, retention, last-chance, offer",N/A - Overlay pattern,Modal center screen,Urgency: #EF4444 accent. Offer: #22C55E highlight. Modal: White with shadow. Overlay: Dark 60%.,"Fade-in modal (300ms), subtle scale entrance, countdown timer if time-limited",One-time offer. Clear value prop. Easy dismiss. Don't annoy. A/B test triggers.,".modal-overlay { position: fixed; inset: 0; background: rgba(0,0,0,0.6); display: flex; align-items: center; justify-content: center; z-index: 1000; opacity: 0; transition: opacity 0.3s ease; } .modal-overlay.active { opacity: 1; } .modal-content { background: #fff; padding: 2.5rem; border-radius: 1rem; max-width: 500px; transform: scale(0.9); transition: transform 0.3s ease; } .modal-overlay.active .modal-content { transform: scale(1); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
38,Floating CTA Bar,"sticky, floating, cta, bar, bottom, persistent",N/A - UI pattern element,Bottom sticky bar with primary CTA,Brand primary for CTA button. Bar bg: White or dark with blur. Text: High contrast.,"Slide up on scroll, hide on scroll down, appear on intent, shadow on separation",Persistent conversion point. Don't obstruct content. Show on scroll intent.,".floating-cta { position: fixed; bottom: 0; left: 0; right: 0; background: rgba(255,255,255,0.95); backdrop-filter: blur(10px); padding: 1rem 2rem; display: flex; justify-content: space-between; align-items: center; transform: translateY(100%); transition: transform 0.3s ease; box-shadow: 0 -4px 20px rgba(0,0,0,0.1); z-index: 100; } .floating-cta.visible { transform: translateY(0); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
39,Video Background Hero,"video, hero, background, cinematic, immersive, visual","1. Video Hero with Overlay, 2. Value Prop Text, 3. Features, 4. CTA",Center hero over video + Below fold CTA,Dark overlay 40-60% on video. White/light text. CTA high contrast button.,"Video autoplay muted loop, text fade-in, parallax scroll, video pause on CTA hover",Emotional connection. Compress video for performance. Poster image fallback. Mobile: static image.,".video-bg-hero { position: relative; min-height: 100vh; overflow: hidden; } .video-bg-hero video { position: absolute; top: 50%; left: 50%; min-width: 100%; min-height: 100%; transform: translate(-50%, -50%); object-fit: cover; z-index: -1; } .hero-overlay { position: absolute; inset: 0; background: rgba(0,0,0,0.5); } .hero-content { position: relative; z-index: 1; display: flex; flex-direction: column; align-items: center; justify-content: center; min-height: 100vh; color: #fff; text-align: center; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
40,Stats Counter Section,"stats, metrics, counter, numbers, achievements, social-proof","1. Hero, 2. Stats Counter Row (3-4 metrics), 3. Supporting Content, 4. CTA",After stats display,Large numbers: #0F172A or brand. Labels: #64748B. Background: Light or accent subtle.,"Number count-up animation on scroll, metric card stagger, icon pulse on complete",Specific impressive numbers. Use real metrics. Count animation on viewport enter.,".stats-section { padding: 5rem 0; background: #f8fafc; } .stats-grid { display: grid; grid-template-columns: repeat(4, 1fr); gap: 2rem; text-align: center; } @media (max-width: 768px) { .stats-grid { grid-template-columns: repeat(2, 1fr); } } .stat-item { padding: 2rem; } .stat-number { font-size: 3rem; font-weight: 700; color: #0f172a; } .stat-label { color: #64748b; margin-top: 0.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
